2026-07-08T20:51:11.296Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=113124 ack_latency_ms=- data_freshness_ms=113124 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:12.574Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=114422 ack_latency_ms=- data_freshness_ms=114422 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:13.887Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=115724 ack_latency_ms=- data_freshness_ms=115724 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:15.164Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=117006 ack_latency_ms=- data_freshness_ms=117006 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:16.520Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=118286 ack_latency_ms=- data_freshness_ms=118286 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:17.840Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=119651 ack_latency_ms=- data_freshness_ms=119651 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:19.231Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=62067 ack_latency_ms=- data_freshness_ms=62067 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:20.609Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=63362 ack_latency_ms=- data_freshness_ms=63362 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:21.973Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=64739 ack_latency_ms=- data_freshness_ms=64739 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:23.349Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=66109 ack_latency_ms=- data_freshness_ms=66109 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:24.726Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=67468 ack_latency_ms=- data_freshness_ms=67468 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:26.059Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=68842 ack_latency_ms=- data_freshness_ms=68842 error_count=1 error_rate_per_min=1.00
2026-07-08T20:51:27.560Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=70188 ack_latency_ms=- data_freshness_ms=70188 error_count=1 error_rate_per_min=1.00
